Tm,Yr,Total_AV,Expected_AV,Picks,AV_Above_Expected
DAL,2021,114.0,127.67496885185014,10,-13.674968851850139
DAL,2022,83.0,95.25887816877982,8,-12.258878168779816
DAL,2023,23.0,71.87758919824859,6,-48.877589198248586
DEN,2000,136.0,119.33468025815142,8,16.665319741848577
DEN,2001,70.0,55.964633670982096,4,14.035366329017904
DEN,2002,95.0,92.84830761982454,8,2.1516923801754615
DEN,2003,33.0,64.27251483831274,4,-31.272514838312745
DEN,2004,69.0,85.74523702550637,6,-16.74523702550637
DEN,2005,36.0,55.180320762793606,5,-19.180320762793606
DEN,2006,147.0,77.13351093217707,5,69.86648906782293
DEN,2007,41.0,71.02912678270212,4,-30.02912678270212
DEN,2008,95.0,90.21285875579129,7,4.787141244208712
DEN,2009,57.0,134.2128466900926,7,-77.21284669009259
DEN,2010,152.0,111.38714762695476,7,40.61285237304524
DEN,2011,178.0,128.13647495264163,7,49.863525047358365
DEN,2012,105.0,82.40807042765904,6,22.59192957234096
DEN,2013,34.0,62.483068093935834,4,-28.483068093935834
DEN,2014,57.0,71.15114983700187,6,-14.151149837001867
DEN,2015,52.0,86.91659103616759,8,-34.91659103616759
DEN,2016,117.0,88.91509993563739,8,28.084900064362614
DEN,2017,53.0,75.70618292842234,6,-22.706182928422336
DEN,2018,114.0,129.91729362718047,9,-15.91729362718047
DEN,2019,64.0,89.83185258061677,5,-25.83185258061677
DEN,2020,73.0,122.12941163669579,10,-49.12941163669579
DEN,2021,129.0,109.47456632129138,9,19.525433678708623
DEN,2022,43.0,87.05582960389292,9,-44.05582960389292
DEN,2023,21.0,56.763996496054965,5,-35.763996496054965
DET,2000,38.0,58.75956461614693,3,-20.759564616146932
DET,2001,178.0,79.69019636068906,5,98.30980363931094
DET,2002,52.0,104.79092871199269,7,-52.79092871199269
DET,2003,85.0,122.29116839064488,7,-37.291168390644884
DET,2004,84.0,111.08057911106147,6,-27.080579111061468
DET,2005,19.0,84.3670074271973,5,-65.3670074271973
DET,2006,33.0,82.02698231173477,5,-49.02698231173477
DET,2007,98.0,114.66791001077746,6,-16.66791001077746
DET,2008,83.0,109.35557844727043,8,-26.35557844727043
DET,2009,199.0,151.84056952842582,8,47.15943047157418
DET,2010,95.0,100.91548356648617,5,-5.915483566486174
DET,2011,30.0,75.01947137166177,4,-45.019471371661766
DET,2012,68.0,96.40002527778678,8,-28.40002527778678
DET,2013,152.0,107.08025279065629,7,44.91974720934371
DET,2014,68.0,96.89790582307407,7,-28.89790582307407
DET,2015,39.0,77.08000001818854,6,-38.08000001818854
DET,2016,136.0,104.8905916413972,9,31.109408358602806
DET,2017,77.0,94.74166312455525,8,-17.741663124555245
DET,2018,93.0,84.2034747229879,6,8.796525277012094
DET,2019,53.0,99.81633864888181,7,-46.81633864888181
DET,2020,68.0,124.31121901826211,8,-56.31121901826211
DET,2021,144.0,109.23015913368556,7,34.76984086631444
DET,2022,84.0,132.95861612049757,8,-48.95861612049757
DET,2023,72.0,141.185324447756,8,-69.18532444775599
GNB,2000,228.0,113.0932042058239,10,114.9067957941761
GNB,2001,40.0,100.8933358412984,6,-60.893335841298395
GNB,2002,100.0,65.13003130396993,5,34.86996869603007
GNB,2003,55.0,50.187616256724,4,4.812383743276001
GNB,2004,80.0,64.48373004797955,5,15.516269952020451
GNB,2005,251.0,109.39972360447541,9,141.6002763955246
GNB,2006,208.0,147.243892083621,10,60.756107916378994
GNB,2007,125.0,107.47397430358431,9,17.526025696415687
